path	labels	yamnet-3
Even More Da Heat/flange loop.wav	Wood block:0.275|Percussion:0.217|Drum:0.087
Even More Da Heat/flanged 2.wav	Percussion:0.512|Drum:0.407|Drum kit:0.288|Snare drum:0.216|Bass drum:0.175
Even More Da Heat/flanged 3.wav	Percussion:0.228|Drum kit:0.159|Drum:0.156|Snare drum:0.063|Bass drum:0.060
Even More Da Heat/flanged?.wav	Percussion:0.110|Drum:0.076|Drum kit:0.054
Even More Da Heat/hat 90 1.wav	Percussion:0.261|Cymbal:0.162|Drum:0.141|Hi-hat:0.118|Dishes, pots, and pans:0.103|Drum kit:0.094
Even More Da Heat/horn delays.wav	Vehicle horn, car horn, honking:0.095|Mantra:0.083|Chant:0.075|Wind instrument, woodwind instrument:0.052
Even More Da Heat/jazz loop.wav	Piano:0.058
Even More Da Heat/kick 1.wav	Drum machine:0.145|Drum kit:0.071|Percussion:0.052
Even More Da Heat/kick 2.wav	Percussion:0.430|Drum:0.397|Drum kit:0.363|Bass drum:0.294|Snare drum:0.151
Even More Da Heat/kick 909 1?.wav	Drum machine:0.368|Synthesizer:0.271|Keyboard (musical):0.241|Sampler:0.225|Drum kit:0.217|Percussion:0.130
Even More Da Heat/kick hat loop.wav	Electronic music:0.163|Drum machine:0.107|Techno:0.098|House music:0.067|Drum kit:0.058
Even More Da Heat/music exzpmle 1.wav	Speech:0.996
Even More Da Heat/phased voice.wav	Music:0.731
Even More Da Heat/rev creeper.wav	Bowed string instrument:0.142|Violin, fiddle:0.137
Even More Da Heat/sample and hold.wav	Speech:0.144|Synthesizer:0.107|Sampler:0.082|Keyboard (musical):0.066
Even More Da Heat/scow wag.wav	Vehicle:0.155|Speech:0.074|Dog:0.073|Domestic animals, pets:0.069|Growling:0.068|Motor vehicle (road):0.058
Even More Da Heat/search for.wav	Speech:0.861
Even More Da Heat/snare 1.wav	Percussion:0.734|Drum:0.711|Snare drum:0.534
Even More Da Heat/snare 2.wav	Burst, pop:0.080
Even More Da Heat/snare 3.wav	Percussion:0.574|Drum:0.487|Snare drum:0.301
Even More Da Heat/snare 4.wav	Percussion:0.621|Drum:0.497|Snare drum:0.334|Cymbal:0.205|Hi-hat:0.174|Drum roll:0.161
Even More Da Heat/snare 5.wav	Synthesizer:0.065|Drum machine:0.065|Sampler:0.057
Even More Da Heat/static loop.wav	Frog:0.476|Wild animals:0.388|Croak:0.135
Even More Da Heat/swell 1.wav	Music:0.932
Even More Da Heat/swell 2.wav	Music:0.838|Silence:0.073
Even More Da Heat/swell 3.wav	Music:0.856
Even More Da Heat/swell 4.wav	Organ:0.053
Even More Da Heat/swell 5.wav	Theme music:0.069
Even More Da Heat/swell 6.wav	Music:0.881
Even More Da Heat/swell 7.wav	Music:0.934
Even More Da Heat/t'cum.wav	Speech:0.461
Even More Da Heat/technology.wav	Speech:0.963
Even More Da Heat/the fundamenmtal.wav	Speech:0.918
Even More Da Heat/thing l.wav	Vehicle:0.057
Even More Da Heat/thing rt.wav	Electronic music:0.112
Even More Da Heat/vox 1.wav	Singing:0.077|Middle Eastern music:0.071|Chant:0.052
Even More Da Heat/vox warble 32000.wav	Music:0.479
Even More Da Heat/vox warble.wav	Music:0.496
From Digitakt/Dub'dUp Afternoon.wav	Drum machine:0.159|Scratching (performance technique):0.151|Synthesizer:0.132|Sampler:0.117|Drum kit:0.092|Keyboard (musical):0.091|Percussion:0.059
From Digitakt/Dub'dUpAfternoonT4.000.wav	Vehicle:0.068|Breathing:0.067|Snoring:0.055
From Digitakt/all_over_snares.wav	Drum machine:0.242|Synthesizer:0.152|Drum kit:0.139|Sampler:0.104|Percussion:0.100|Keyboard (musical):0.098
From Digitakt/atmos.wav	Ambient music:0.053
From Digitakt/bassy loop.wav	Music:0.740
From Digitakt/busy_hiss.wav	Drum machine:0.486|Drum kit:0.355|Percussion:0.313
From Digitakt/degraded 1st power.wav	Drum machine:0.289|Drum kit:0.181|Sampler:0.151|Synthesizer:0.146|Percussion:0.127|Keyboard (musical):0.100
From Digitakt/dub'd, delay'd power'd spread.wav	Drum machine:0.178|Scratching (performance technique):0.178|Sampler:0.141|Synthesizer:0.127|Drum kit:0.098|Keyboard (musical):0.094|Electronic music:0.070|Percussion:0.067
From Digitakt/hifilterT51.200.wav	Mains hum:0.192|Hum:0.189|Static:0.157|Toothbrush:0.124|Electric toothbrush:0.120|Buzz:0.117|Electric shaver, electric razor:0.112|Spray:0.056
From Digitakt/kicking_loop.wav	Drum machine:0.172|Drum kit:0.068|Synthesizer:0.067|Percussion:0.052|Heart sounds, heartbeat:0.050
From Digitakt/minimal_hat&snamre.wav	Drum machine:0.309|Synthesizer:0.208|Drum kit:0.180|Sampler:0.170|Percussion:0.164|Keyboard (musical):0.160
From Digitakt/minimal_hiss.wav	Drum machine:0.307|Percussion:0.194|Drum kit:0.189|Synthesizer:0.127|Sampler:0.107|Keyboard (musical):0.101
From Digitakt/more_busy_beat.wav	Drum machine:0.612|Drum kit:0.422|Percussion:0.356
From Digitakt/power'd afternoon.wav	Drum machine:0.443|Drum kit:0.309|Percussion:0.224|Sampler:0.138|Synthesizer:0.131
From Digitakt/reicky_stop_bass.edit.wav	Drum machine:0.468|Drum kit:0.340|Percussion:0.269|Synthesizer:0.211|Sampler:0.171|Keyboard (musical):0.146
From Digitakt/reicky_stop_bass.wav	Drum machine:0.491|Drum kit:0.345|Percussion:0.288
From Digitakt/saturday - degrade.wav	Drum machine:0.143|Synthesizer:0.104|Keyboard (musical):0.082|Drum kit:0.080|Electronic music:0.073|Percussion:0.063
From Digitakt/saturday - ripped.2.wav	Drum machine:0.131|Drum kit:0.077|Electronic music:0.063|Percussion:0.057|Techno:0.055
From Digitakt/saturday - slo.wav	Drum machine:0.499|Percussion:0.287|Drum kit:0.273
From Digitakt/saturday ripp'd - 1.wav	Drum machine:0.507|Synthesizer:0.266|Percussion:0.238|Drum kit:0.235|Keyboard (musical):0.213|Sampler:0.203
From Digitakt/saturday ripp'd - 2.wav	Explosion:0.240|Gunshot, gunfire:0.193|Whip:0.111|Cap gun:0.085|Arrow:0.074
From Digitakt/saturday ripp'd - 3.wav	Cap gun:0.243|Explosion:0.168|Gunshot, gunfire:0.153|Whack, thwack:0.111|Arrow:0.107|Whoosh, swoosh, swish:0.086|Fireworks:0.066|Hands:0.062
From Digitakt/saturday ripp'd - 4.wav	Scratching (performance technique):0.183|Drum machine:0.182|Synthesizer:0.099|Drum kit:0.081|Keyboard (musical):0.072|Sampler:0.069|Tick:0.052|Percussion:0.051
From Digitakt/saturday ripp'd - 5.wav	Hum:0.496|Mains hum:0.192
From Digitakt/saturday ripp'd - 6.wav	Slap, smack:0.521|Explosion:0.456|Whack, thwack:0.446|Gunshot, gunfire:0.397|Hands:0.385|Cap gun:0.270|Crack:0.257|Firecracker:0.158
From Digitakt/saturday-degradeT2.000.wav	Music:0.534
From Digitakt/saturday-degradeT4.000.wav	Synthesizer:0.072|Cacophony:0.070|Hum:0.051
From Digitakt/saturday-degradeUSIMCeramic_hi2.wav	Livestock, farm animals, working animals:0.064|Grunt:0.052
From Digitakt/saturday2.wav	Music:0.980
From Digitakt/saturday_afternoon.wav	Music:0.955
From Digitakt/sleepy time - lp1.wav	Whale vocalization:0.126|Sonar:0.108|Echo:0.057
From Digitakt/vantage - off loop.wav	Beatboxing:0.073|Chewing, mastication:0.072|Thump, thud:0.071|Crunch:0.055|Biting:0.055|Thunk:0.054|Arrow:0.053
From Digitakt/vantage - short.derst.wav	Drum machine:0.101|Synthesizer:0.078|Sampler:0.067|Drum kit:0.057
From Digitakt/vantage - short.wav	Drum machine:0.096
From Digitakt/vantage-skrewy.wav	Music:0.543
From Digitakt/vantage.25.wav	Dog:0.123|Domestic animals, pets:0.114|Zipper (clothing):0.089|Whoosh, swoosh, swish:0.053
From Digitakt/vantage.5.wav	Chewing, mastication:0.107|Crunch:0.101|Biting:0.087|Walk, footsteps:0.066
beds&melodicLoops/1998 Chateau Lafite-Rothschild Pauillac.aif	Sonar:0.094|Heart murmur:0.076|Heart sounds, heartbeat:0.076
beds&melodicLoops/another loop for your mind.LR.aif	Synthesizer:0.114|Keyboard (musical):0.065|Sampler:0.063
beds&melodicLoops/cb2.aif	Heart murmur:0.096|Heart sounds, heartbeat:0.085|Sonar:0.081
beds&melodicLoops/cb2T2.000.aif	Heart sounds, heartbeat:0.061
beds&melodicLoops/cb2T2000T2.000.aif	Heart sounds, heartbeat:0.064|Synthesizer:0.057
beds&melodicLoops/cb2T2000T2000T2.000.aif	Synthesizer:0.059|Ambient music:0.054|Electronic music:0.053
beds&melodicLoops/deep_runner.sd2	Waterfall:0.629|Water:0.557|Gurgling:0.207|Stream:0.186
beds&melodicLoops/fadeIn.aif	Sonar:0.147
beds&melodicLoops/fadeInT32.000.aif	Sonar:0.398
beds&melodicLoops/fadeInT8.000.aif	Heart sounds, heartbeat:0.060
beds&melodicLoops/fadeInT8000T2.000.aif	Heart sounds, heartbeat:0.371|Heart murmur:0.302
beds&melodicLoops/fed-back.aif	Rumble:0.168|Vehicle:0.143|Car:0.091|Sine wave:0.081|Motor vehicle (road):0.078|Synthesizer:0.051
beds&melodicLoops/gcs*bigNoiseT4.000.aif	Aircraft:0.408|Vehicle:0.375|Fixed-wing aircraft, airplane:0.196|Jet engine:0.190|Helicopter:0.186|Aircraft engine:0.146
beds&melodicLoops/higher_bedderT2000T2000T2.000.aif	Synthesizer:0.055
beds&melodicLoops/mc_900_ft_jesus*32aif_editT8.00.aif	Train:0.260|Rail transport:0.257|Train horn:0.254|Vehicle:0.237|Railroad car, train wagon:0.148|Train whistle:0.119|Vehicle horn, car horn, honking:0.076
beds&melodicLoops/pikDrone.aif	Sonar:0.075|Heart murmur:0.069|Heart sounds, heartbeat:0.067
beds&melodicLoops/regarding that she is my childe.aif	Electronic music:0.058
beds/CeramicGlazings 4.00.sd2	Waterfall:0.617|Water:0.453|Rain:0.185|Stream:0.175|Gurgling:0.169|Rain on surface:0.162
beds/CeramicGlazings*moonless008aif.aif	Ambient music:0.324|Electronic music:0.146|Gong:0.096
beds/CeramicGlazings*moonless008aifT.aif	Gong:0.513|Singing bowl:0.224|Percussion:0.172|Ambient music:0.150
beds/CeramicGlazings.aif	Ambient music:0.066
beds/Ceramic_hi1*ePianCerami2.aif	Emergency vehicle:0.118|Siren:0.111|Fire engine, fire truck (siren):0.104|Alarm:0.094|Vehicle:0.085|Motor vehicle (road):0.078
beds/Ceramic_hi1*ePiano_02.aif	Gong:0.626|Percussion:0.386|Singing bowl:0.187
beds/Ceramic_hi1*ePiano_02USIMCerami.aif	Keyboard (musical):0.174|Synthesizer:0.071
beds/Ceramic_hi1-beaut*the_Chad_werk.aif	Singing bowl:0.116|Ambient music:0.086|Gong:0.073|Sonar:0.072
beds/Ceramic_hi1-beaut.aif	Sonar:0.210|Ambient music:0.205|Theremin:0.094|Electronic music:0.090
beds/Ceramic_hi1-beautT2.aif	Singing bowl:0.142|Sonar:0.109|Ambient music:0.064
beds/Ceramic_hi1.aif	Siren:0.100
beds/Ceramic_hi1T2.aif	Sonar:0.127|Siren:0.086
beds/Ceramic_hi1T2000T2.aif	Siren:0.126|Alarm:0.074|Police car (siren):0.055
beds/Ceramic_hi1T2000T2000T2.aif	Siren:0.161|Alarm:0.099|Electronic music:0.055
beds/Ceramic_hi1T8.aif	Siren:0.216|Alarm:0.140|Sonar:0.076|Police car (siren):0.067|Emergency vehicle:0.060
beds/Ceramic_hi2.aif	Screaming:0.236|Groan:0.195|Grunt:0.099|Siren:0.095|Alarm:0.070|Police car (siren):0.061
beds/the_Chad_werkdaiffUSIMCeramic_h.aif	Sonar:0.073
